name,unit,producer,kved
Адаптер TSN-MICRO-44 (ТРИТОН),95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8542 90 00 00
"Адаптер зі світлодіодом на рейку для RAP, RP Carlo Gavazzi",95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Аквадистилятор ДЭ-10,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8419 40 00 00
Аквадистилятор електричний ДЭ-25М (Дистилятор ДЭ-25М),95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Акселерометр низькочастотний РА-057,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9031 90 85 00
"Акселерометр, типу 8324",95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9031 90 85 00
Активний микшерний пульт Park Audio PM500-4 MkII,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Акумулятор - блок живлення до УД4-Т 220В/36В 50Гц,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8507 60 00 00
Акумулятор  НР Compag HSTNN-IB1A,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Акумулятор GP R6 2700 MA NI-MN,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8507 80 30 00
Акумулятор -блок живлення до ТДМ-1,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Акумулятор -блок живлення до ТУЗ 1,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8507 80 30 00
Акумулятор -блок живлення до УД 4-76,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8507 80 30 00
"Акумулятор до приладу &#34;АГАТ&#34; U=4,8 1,6  А/Ч",95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8507 80 30 00
Акумуляторна батарея CSB 12В 7.2 Ач,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8504 40 30 00
Акустичний портативний течешукач &#34;Успех АТ-207&#34;,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Амперметр М42300 шкала 100 А (5мА),95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9030 33 99 00
Амперметр М42300 шкала 300 А (5мА),95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9030 33 99 00
Амперметр Н-3093,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9030 32 00 00
Амперметр самописний Н-3092,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9030 39 00 00
"Амперметр цифровий ЦА9254Р 21012  3000А/1А-4,0-220ВУ-RS-З-0,5-УХЛ3.1",95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8504 40 90 00
"Амперметр цифровий ЦА9254Р 41012  1200А/5А-4,0-220ВУ-RS-З-0,5-УХЛ3.1",95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8504 40 90 00
"Амперметр цифровий ЦА9254Р 41012  1500А/5А-4,0-220ВУ-RS-З-0,5-УХЛ3.1",95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8504 40 90 00
"Амперметр щитовий шкала 600/5 А, габарит 96х96 мм SOCOMEC",95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8536 30 10 90
Амперметр Э365 шкала 150/5 А,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9030 33 99 00
Амперметр Э365 шкала 200/5 А,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9030 33 99 00
Амперметр Э365 шкала 300/5 А,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9030 33 99 00
Амперметр Э365 шкала 400/5 А,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9030 33 99 00
Амперметр Э365 шкала 50/5 А,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9030 33 99 00
Амперметр Э365 шкала 600/5 А,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9030 33 99 00
Амперметр Э365 шкала 75/5 А,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9030 33 99 00
Амперметр ЭА0302/1У,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9030 33 99 00
"Амперметр ЭА0302/1У  200/5 кл.т. 1,5",95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9030 33 99 00
"Амперметр ЭА0302/1У  400/5 кл.т. 1,5",95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9030 33 99 00
Аналізатор  АН-7529М,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9027 80 17 00
Аналізатор  вібраційний ВИБРОН-3.1,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9031 80 38 00
Аналізатор антен АА-520,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Аналізатор вольтамперометричної рідини АВА-3,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Аналізатор ГРАН-152,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9027 50 00 00
Аналізатор логічний Hantek LA-5034,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9030 33 10 00
Аналізатор натрію АН-012М,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9027 80 17 00
Аналізатор рідини кондуктометричний КВЧ-5М,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Аналізатор ситовий АС-200,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Аналізатор ситовий АС-200 (з комплектом сит-6шт),95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
"Аналогово-цифровий перетворювач IDEC FC4А-J8C1, 8 входів, 24В DC",95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
"Аналого-цифровий перетворювач IDEC FC4A-J8C1, 8 входів 24В DC",95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Анемометр АЦК-10,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Анемометр крановий сигнальний АСЦ-3,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9026 80 20 00
Анемометр М-95-МЦ,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Анемометр переносний рудничний АПР-2,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Анемометр сигн. цифровий М-95М,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Анемометр сигнальний цифровий М-95ЦМ,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9026 80 20 00
Апарат  АЗД-5 з блоком індикації,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Апарат АПСУ,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Апарат АРНС-1М,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Апарат електрозварювальний спеціальний КАЭС-401,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Апарат захисту електродвигунів АЗД з блоком індикації БИ,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
апарат передпусковий сигналізації та управління АПСУ,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Апарат плазмової різки (плазморіза) типу Plasma Cutter 150  та плазмотрон ABIPLAS CUT-150,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Аппарат  для розгонки нафтопродуктів двомісний,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Аппарат  ТОС-1 без компрессорной установки,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Асортимент інструменту для електроніки 210446,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8203 20 90 00
Асортимент спіральних свердл 230312/TIN,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8207 50 60 00
Асортимент торцевих ключів 110676,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8204 11 00 00
Асортимент шестигранних штифтових ключів 100585,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8204 11 00 00
Аспіратор сильфонний АМ-5,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,0000 00 00 00
Багатоканальний  реєстратор Регіграф Ф1771-АД-8-2-1-01-01-1 з сенсорним екраном,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,9030 32 00 00
Багатоканальний електронний реєстратор REGIGRAF Ф1771-АД-16-1-2-02-01-1,95136fc0-d2a3-11e6-bce7-e108f54e504a,3c9eb690-d2a5-11e6-8eb4-0ffbdcc06897,8521 90 00 00
